ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-05-02T07:00:00+00:00,29630000,29.6M,,,,
_AACI,2022-05-02T07:00:00+00:00,15160000,15.2M,,,,
_AADI,2022-05-02T07:00:00+00:00,20630000,20.6M,,,,
_AAIC,2022-05-02T07:00:00+00:00,28380000,28.4M,,,,
_AAME,2022-05-02T07:00:00+00:00,4019999,4.02M,,,,
_AAN,2022-05-02T07:00:00+00:00,31010000,31M,,,,
_AAOI,2022-05-02T07:00:00+00:00,25600000,25.6M,,,,
_AATC,2022-05-02T07:00:00+00:00,3120000,3.12M,,,,
_ABGI,2022-05-02T07:00:00+00:00,13990000,14M,,,,
_ABIO,2022-05-02T07:00:00+00:00,14200000,14.2M,,,,
_ABOS,2022-05-02T07:00:00+00:00,14360000,14.4M,,,,
_ABSI,2022-05-02T07:00:00+00:00,62450000,62.4M,,,,
_ABST,2022-05-02T07:00:00+00:00,37490000,37.5M,,,,
_ABVC,2022-05-02T07:00:00+00:00,7650000,7.65M,,,,
_AC,2022-05-02T07:00:00+00:00,3040000,3.04M,,,,
_ACAQ,2022-05-02T07:00:00+00:00,23000000,23M,,,,
_ACCD,2022-05-02T07:00:00+00:00,64510000,64.5M,,,,
_ACEL,2022-05-02T07:00:00+00:00,59060000,59.1M,,,,
_ACER,2022-05-02T07:00:00+00:00,13120000,13.1M,,,,
_ACET,2022-05-02T07:00:00+00:00,12750000,12.8M,,,,
_ACEV,2022-05-02T07:00:00+00:00,8050000,8.05M,,,,
_ACHL,2022-05-02T07:00:00+00:00,36110000,36.1M,,,,
_ACHV,2022-05-02T07:00:00+00:00,8620000,8.62M,,,,
_ACII,2022-05-02T07:00:00+00:00,34500000,34.5M,,,,
_ACIU,2022-05-02T07:00:00+00:00,39980000,40M,,,,
_ACLX,2022-05-02T07:00:00+00:00,31830000,31.8M,,,,
_ACMR,2022-05-02T07:00:00+00:00,16810000,16.8M,,,,
_ACNB,2022-05-02T07:00:00+00:00,8340000,8.34M,,,,
_ACOR,2022-05-02T07:00:00+00:00,10270000,10.3M,,,,
_ACQR,2022-05-02T07:00:00+00:00,33800000,33.8M,,,,
_ACR,2022-05-02T07:00:00+00:00,8450000,8.45M,,,,
_ACRE,2022-05-02T07:00:00+00:00,44020000,44M,,,,
_ACRS,2022-05-02T07:00:00+00:00,53140000,53.1M,,,,
